level_type,session,year,price,distance_from_close,lag,revisited
poc,2022-06-28,2022,15160.0,89.0,5,True
poc,2022-06-29,2022,15076.0,10.5,1,True
poc,2022-06-30,2022,14953.0,17.0,1,True
poc,2022-07-01,2022,14900.0,110.0,1,True
poc,2022-07-05,2022,14893.0,316.75,6,True
poc,2022-07-06,2022,15210.0,73.5,4,True
poc,2022-07-07,2022,15416.0,117.5,1,True
poc,2022-07-08,2022,15548.0,4.5,1,True
poc,2022-07-11,2022,15322.0,34.0,1,True
poc,2022-07-12,2022,15284.0,108.0,1,True
poc,2022-07-13,2022,15204.0,51.0,1,True
poc,2022-07-14,2022,15090.0,107.25,49,True
poc,2022-07-15,2022,15374.0,31.25,1,True
poc,2022-07-18,2022,15530.0,226.0,1,True
poc,2022-07-19,2022,15662.0,4.0,1,True
poc,2022-07-20,2022,15849.0,14.25,1,True
poc,2022-07-21,2022,16004.0,38.5,1,True
poc,2022-07-22,2022,15975.0,154.0,3,True
poc,2022-07-25,2022,15774.0,21.5,2,True
poc,2022-07-26,2022,15523.0,15.25,27,True
poc,2022-07-27,2022,15831.0,181.75,23,True
poc,2022-07-28,2022,16058.0,77.75,21,True
poc,2022-07-29,2022,16254.0,115.0,1,True
poc,2022-08-01,2022,16349.0,10.75,1,True
poc,2022-08-02,2022,16358.0,38.75,1,True
poc,2022-08-03,2022,16669.0,0.0,1,True
poc,2022-08-04,2022,16694.0,34.0,1,True
poc,2022-08-05,2022,16588.0,35.75,1,True
poc,2022-08-08,2022,16594.0,15.25,1,True
poc,2022-08-09,2022,16396.0,33.5,1,True
poc,2022-08-10,2022,16758.0,33.0,1,True
poc,2022-08-11,2022,16816.0,101.5,1,True
poc,2022-08-12,2022,16876.0,100.75,3,True
poc,2022-08-15,2022,17052.0,30.5,1,True
poc,2022-08-16,2022,17011.0,40.0,1,True
poc,2022-08-17,2022,16888.0,5.25,1,True
poc,2022-08-18,2022,16944.0,18.25,60,False
poc,2022-08-19,2022,16665.0,4.5,60,False
poc,2022-08-22,2022,16372.0,58.75,1,True
poc,2022-08-23,2022,16324.0,28.0,1,True
poc,2022-08-24,2022,16332.0,0.75,1,True
poc,2022-08-25,2022,16452.0,103.75,1,True
poc,2022-08-26,2022,16192.0,175.5,12,True
poc,2022-08-29,2022,15962.0,70.0,1,True
poc,2022-08-30,2022,15718.0,33.0,1,True
poc,2022-08-31,2022,15730.0,51.0,2,True
poc,2022-09-01,2022,15454.0,229.0,1,True
poc,2022-09-02,2022,15536.0,28.5,1,True
poc,2022-09-06,2022,15442.0,23.25,1,True
poc,2022-09-07,2022,15464.0,195.25,4,True
poc,2022-09-08,2022,15666.0,57.5,3,True
poc,2022-09-09,2022,15964.0,23.5,2,True
poc,2022-09-12,2022,16120.0,20.0,1,True
poc,2022-09-13,2022,15600.0,162.5,60,False
poc,2022-09-14,2022,15514.0,24.25,1,True
poc,2022-09-15,2022,15340.0,15.5,2,True
poc,2022-09-16,2022,15142.0,105.0,1,True
poc,2022-09-19,2022,15237.0,110.5,1,True
poc,2022-09-20,2022,15244.0,2.0,1,True
poc,2022-09-21,2022,15282.0,258.0,39,True
poc,2022-09-22,2022,14903.0,20.0,1,True
poc,2022-09-23,2022,14686.0,8.25,1,True
poc,2022-09-26,2022,14704.0,64.0,1,True
poc,2022-09-27,2022,14602.0,51.0,1,True
poc,2022-09-28,2022,14815.0,59.25,1,True
poc,2022-09-29,2022,14530.0,21.25,1,True
poc,2022-09-30,2022,14548.0,199.0,1,True
poc,2022-10-03,2022,14531.0,80.0,4,True
poc,2022-10-04,2022,14974.0,10.0,1,True
poc,2022-10-05,2022,14720.0,236.5,2,True
poc,2022-10-06,2022,14891.0,28.25,1,True
poc,2022-10-07,2022,14562.0,142.75,5,True
poc,2022-10-10,2022,14330.0,29.0,1,True
poc,2022-10-11,2022,14138.0,26.25,1,True
