session_date,net_pnl_dollars,equity_dollars
2024-10-24,0.0,333.5
2024-10-28,0.0,333.5
2024-10-29,0.0,333.5
2024-10-30,0.0,333.5
2024-10-31,0.0,333.5
2024-11-04,0.0,333.5
2024-11-05,0.0,333.5
2024-11-06,0.0,333.5
2024-11-07,-1.0,332.5
2024-11-11,0.0,332.5
2024-11-12,0.0,332.5
2024-11-13,0.0,332.5
2024-11-14,0.0,332.5
2024-11-18,5.5,338.0
2024-11-19,0.0,338.0
2024-11-20,0.0,338.0
2024-11-21,0.0,338.0
2024-11-25,0.0,338.0
2024-11-26,0.0,338.0
2024-11-27,0.0,338.0
2024-12-02,6.5,344.5
2024-12-03,0.0,344.5
2024-12-04,0.0,344.5
2024-12-05,0.0,344.5
2024-12-09,0.0,344.5
2024-12-10,5.5,350.0
2024-12-11,1.5,351.5
2024-12-12,0.0,351.5
2024-12-16,2.5,354.0
2024-12-17,0.0,354.0
2024-12-18,0.0,354.0
2024-12-19,0.0,354.0
2024-12-23,0.0,354.0
2024-12-26,0.0,354.0
2024-12-30,3.0,357.0
2025-01-02,0.0,357.0
2025-01-06,0.0,357.0
2025-01-07,0.0,357.0
2025-01-08,0.0,357.0
2025-01-13,0.0,357.0
2025-01-14,0.0,357.0
2025-01-15,0.0,357.0
2025-01-16,0.0,357.0
2025-01-21,0.0,357.0
2025-01-22,0.0,357.0
2025-01-23,0.0,357.0
2025-01-27,0.0,357.0
2025-01-28,0.0,357.0
2025-01-29,0.0,357.0
2025-01-30,0.0,357.0
2025-02-03,0.0,357.0
2025-02-04,0.0,357.0
2025-02-05,0.0,357.0
2025-02-06,0.0,357.0
2025-02-10,0.0,357.0
2025-02-11,0.0,357.0
2025-02-12,10.5,367.5
2025-02-13,0.0,367.5
2025-02-18,2.5,370.0
2025-02-19,0.0,370.0
2025-02-20,0.0,370.0
2025-02-24,0.0,370.0
2025-02-25,0.0,370.0
2025-02-26,0.0,370.0
2025-02-27,0.0,370.0
2025-03-03,0.0,370.0
2025-03-04,0.0,370.0
2025-03-05,0.0,370.0
2025-03-06,0.0,370.0
2025-03-10,0.0,370.0
2025-03-11,0.0,370.0
2025-03-12,6.5,376.5
2025-03-13,0.0,376.5
2025-03-17,0.0,376.5
2025-03-18,0.0,376.5
2025-03-19,0.0,376.5
2025-03-20,0.0,376.5
2025-03-24,2.0,378.5
2025-03-25,0.0,378.5
2025-03-26,0.0,378.5
2025-03-27,0.5,379.0
2025-03-31,-0.5,378.5
2025-04-01,-1.0,377.5
2025-04-02,0.0,377.5
2025-04-03,0.0,377.5
2025-04-07,0.0,377.5
2025-04-08,0.0,377.5
2025-04-09,0.0,377.5
2025-04-10,0.0,377.5
2025-04-14,0.0,377.5
2025-04-15,0.0,377.5
2025-04-16,0.0,377.5
2025-04-21,0.0,377.5
2025-04-22,0.0,377.5
2025-04-23,0.0,377.5
2025-04-24,0.0,377.5
2025-04-28,0.0,377.5
2025-04-29,0.0,377.5
2025-04-30,0.0,377.5
2025-05-01,0.0,377.5
2025-05-05,0.0,377.5
2025-05-06,0.0,377.5
2025-05-07,0.0,377.5
2025-05-08,0.0,377.5
2025-05-12,0.0,377.5
2025-05-13,0.0,377.5
2025-05-14,0.0,377.5
2025-05-15,0.5,378.0
2025-05-19,0.0,378.0
2025-05-20,0.0,378.0
2025-05-21,3.0,381.0
2025-05-22,0.0,381.0
2025-05-27,0.5,381.5
2025-05-28,0.0,381.5
2025-05-29,0.0,381.5
2025-06-02,0.0,381.5
2025-06-03,0.0,381.5
2025-06-04,0.0,381.5
2025-06-05,0.0,381.5
2025-06-09,-0.5,381.0
2025-06-10,0.0,381.0
2025-06-11,0.0,381.0
2025-06-12,4.0,385.0
2025-06-16,0.0,385.0
2025-06-17,0.0,385.0
