Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
49,Entry long,2026-01-16 02:33,P6L|sig=1768548780000|zone=1768539600000|prox=26318.50|dist=26310.50|rvol=0.8063|room=4.8056,26318.25,1,52636.5,-17.5,-0.03,0,71,0.13,-17.5,-0.03,411.5,0.41,67
50,Exit long,2026-01-26 04:31,P6 Long Exit,26172.25,1,52364.5,-20,-0.04,0,8,0.02,-20,-0.04,391.5,0.39,1
50,Entry long,2026-01-26 04:30,P6L|sig=1769419800000|zone=1769407200000|prox=26183.00|dist=26173.25|rvol=0.8955|room=11.1395,26182.25,1,52364.5,-20,-0.04,0,8,0.02,-20,-0.04,391.5,0.39,1
51,Exit short,2026-01-26 16:00,15:00 CT close,26353.25,1,52805.5,99,0.19,0,108.5,0.21,-14,-0.03,490.5,0.49,51
51,Entry short,2026-01-26 15:09,P6S|sig=1769458140000|zone=1769450400000|prox=26399.25|dist=26441.00|rvol=0.7811|room=5.1988,26402.75,1,52805.5,99,0.19,0,108.5,0.21,-14,-0.03,490.5,0.49,51
52,Exit short,2026-01-27 06:34,P6 Short Exit,26530,1,53022,-38,-0.07,0,22,0.04,-38,-0.07,452.5,0.45,48
52,Entry short,2026-01-27 05:46,P6S|sig=1769510760000|zone=1769497200000|prox=26510.75|dist=26529.00|rvol=0.8644|room=5.3896,26511,1,53022,-38,-0.07,0,22,0.04,-38,-0.07,452.5,0.45,48
53,Exit long,2026-01-27 09:30,P6 Long Exit,26474.25,1,52981.5,-33,-0.06,0,55,0.10,-33,-0.06,419.5,0.42,38
53,Entry long,2026-01-27 08:52,P6L|sig=1769521920000|zone=1769504400000|prox=26491.75|dist=26475.25|rvol=0.79|room=16.6857,26490.75,1,52981.5,-33,-0.06,0,55,0.10,-33,-0.06,419.5,0.42,38
54,Exit short,2026-02-02 12:32,P6 Short Exit,26435,1,52673,-197,-0.37,0,50,0.09,-197,-0.37,222.5,0.22,145
54,Entry short,2026-02-02 10:07,P6S|sig=1770044820000|zone=1769785200000|prox=26335.00|dist=26442.50|rvol=0.9958|room=4.629,26336.5,1,52673,-197,-0.37,0,50,0.09,-197,-0.37,222.5,0.22,145
55,Exit short,2026-02-03 00:49,P6 Short Exit,26500,1,52928,-72,-0.14,0,19.5,0.04,-72,-0.14,150.5,0.15,129
55,Entry short,2026-02-02 22:40,P6S|sig=1770090000000|zone=1770080400000|prox=26460.75|dist=26499.00|rvol=0.7698|room=16,26464,1,52928,-72,-0.14,0,19.5,0.04,-72,-0.14,150.5,0.15,129
56,Exit long,2026-02-03 09:30,P6 Long Exit,26430,1,52923,-63,-0.12,0,28.5,0.05,-63,-0.12,87.5,0.09,24
56,Entry long,2026-02-03 09:06,P6L|sig=1770127560000|zone=1770116400000|prox=26464.00|dist=26431.00|rvol=0.7738|room=4.5956,26461.5,1,52923,-63,-0.12,0,28.5,0.05,-63,-0.12,87.5,0.09,24
57,Exit long,2026-02-03 14:20,P6 Long Exit,25858,1,51508.5,207.5,0.40,0,207.5,0.40,-56,-0.11,295,0.30,21
