Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
92,Exit long,2026-03-05 15:08,P6 Long Exit,25414.5,1,50613.5,215.5,0.43,0,215.5,0.43,-49,-0.10,451.5,0.05,137
92,Entry long,2026-03-05 12:51,P6L|sig=1772733000000|zone=1772625600000|prox=25314.50|dist=25228.25|room=4.1805,25306.75,1,50613.5,215.5,0.43,0,215.5,0.43,-49,-0.10,451.5,0.05,137
93,Exit long,2026-03-06 10:00,P6 Long Exit,25265,1,50346,184,0.37,0,184,0.37,-106,-0.21,635.5,0.06,68
93,Entry long,2026-03-06 08:52,P6L|sig=1772805060000|zone=1772611200000|prox=25165.00|dist=25119.75|room=5.7027,25173,1,50346,184,0.37,0,184,0.37,-106,-0.21,635.5,0.06,68
94,Exit short,2026-03-06 12:16,P6 Short Exit,25328.75,1,50808.5,151,0.30,0,151,0.30,-7.5,-0.01,786.5,0.08,11
94,Entry short,2026-03-06 12:05,P6S|sig=1772816640000|zone=1772791200000|prox=25428.75|dist=25488.25|room=4.3595,25404.25,1,50808.5,151,0.30,0,151,0.30,-7.5,-0.01,786.5,0.08,11
95,Exit short,2026-03-06 15:10,P6 Short Exit,25266.75,1,50800,266.5,0.52,0,266.5,0.52,-14.5,-0.03,1053,0.11,116
95,Entry short,2026-03-06 13:14,P6S|sig=1772820780000|zone=1772812800000|prox=25366.75|dist=25429.25|room=3.1772,25400,1,50800,266.5,0.52,0,266.5,0.52,-14.5,-0.03,1053,0.11,116
96,Exit long,2026-03-09 05:16,P6 Long Exit,24866.25,1,49518,214.5,0.43,0,214.5,0.43,-35.5,-0.07,1267.5,0.13,71
96,Entry long,2026-03-09 04:05,P6L|sig=1773043440000|zone=1773036000000|prox=24766.25|dist=24718.50|room=11.1385,24759,1,49518,214.5,0.43,0,214.5,0.43,-35.5,-0.07,1267.5,0.13,71
97,Exit short,2026-03-09 15:21,P6 Short Exit,25363.25,1,50671,-55.5,-0.11,0,0.5,0.00,-55.5,-0.11,1212,0.12,0
97,Entry short,2026-03-09 15:21,P6S|sig=1773084000000|zone=1772823600000|prox=25309.25|dist=25362.25|room=7.0509,25335.5,1,50671,-55.5,-0.11,0,0.5,0.00,-55.5,-0.11,1212,0.12,0
98,Exit short,2026-03-10 04:08,P6 Short Exit,25649.5,1,51244,-55,-0.11,0,4,0.01,-55,-0.11,1157,0.12,0
98,Entry short,2026-03-10 04:08,P6S|sig=1773130020000|zone=1772780400000|prox=25614.75|dist=25648.50|room=4.3022,25622,1,51244,-55,-0.11,0,4,0.01,-55,-0.11,1157,0.12,0
99,Exit short,2026-03-10 07:43,P6 Short Exit,25495.25,1,51219,228.5,0.45,0,228.5,0.45,-9,-0.02,1385.5,0.14,38
99,Entry short,2026-03-10 07:05,P6S|sig=1773140640000|zone=1773133200000|prox=25595.25|dist=25642.75|room=2.0619,25609.5,1,51219,228.5,0.45,0,228.5,0.45,-9,-0.02,1385.5,0.14,38
100,Exit long,2026-03-10 08:04,P6 Long Exit,25446.75,1,50919,-25.5,-0.05,0,22.5,0.04,-25.5,-0.05,1360,0.14,2
