Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
150,Entry short,2026-04-07 18:52,1h first touch + room,25145.5,1,50291,-130,-0.26,0,49,0.10,-130,-0.26,756.5,0.08,7
151,Exit long,2026-04-08 09:51,P6 Long Exit,25378,1,50827,-71,-0.14,0,81,0.16,-71,-0.14,685.5,0.07,10
151,Entry long,2026-04-08 09:41,1h first touch + room,25413.5,1,50827,-71,-0.14,0,81,0.16,-71,-0.14,685.5,0.07,10
152,Exit long,2026-04-09 03:34,P6 Long Exit,25286,1,50636.5,-64.5,-0.13,0,47,0.09,-64.5,-0.13,621,0.06,46
152,Entry long,2026-04-09 02:48,1h first touch + room,25318.25,1,50636.5,-64.5,-0.13,0,47,0.09,-64.5,-0.13,621,0.06,46
153,Exit short,2026-04-09 12:03,P6 Short Exit,25551,1,51021.5,-80.5,-0.16,0,2,0.00,-80.5,-0.16,540.5,0.05,1
153,Entry short,2026-04-09 12:02,1h first touch + room,25510.75,1,51021.5,-80.5,-0.16,0,2,0.00,-80.5,-0.16,540.5,0.05,1
154,Exit short,2026-04-10 05:19,P6 Short Exit,25548.5,1,51056,-41,-0.08,0,17,0.03,-41,-0.08,499.5,0.05,0
154,Entry short,2026-04-10 05:19,1h first touch + room,25528,1,51056,-41,-0.08,0,17,0.03,-41,-0.08,499.5,0.05,0
155,Exit long,2026-04-10 10:32,P6 Long Exit,25665,1,51131,199,0.39,0,199,0.39,-8,-0.02,698.5,0.07,21
155,Entry long,2026-04-10 10:11,1h first touch + room,25565.5,1,51131,199,0.39,0,199,0.39,-8,-0.02,698.5,0.07,21
156,Exit long,2026-04-13 07:56,P6 Long Exit,25380.75,1,50793,-31.5,-0.06,0,5,0.01,-31.5,-0.06,667,0.07,5
156,Entry long,2026-04-13 07:51,1h first touch + room,25396.5,1,50793,-31.5,-0.06,0,5,0.01,-31.5,-0.06,667,0.07,5
157,Exit long,2026-04-13 09:04,P6 Long Exit,25473.75,1,50741.5,206,0.41,0,206,0.41,-9.5,-0.02,873,0.09,62
157,Entry long,2026-04-13 08:02,1h first touch + room,25370.75,1,50741.5,206,0.41,0,206,0.41,-9.5,-0.02,873,0.09,62
158,Exit short,2026-04-14 03:02,P6 Short Exit,25892.75,1,51750,-35.5,-0.07,0,13,0.03,-35.5,-0.07,837.5,0.08,25
158,Entry short,2026-04-14 02:37,1h first touch + room,25875,1,51750,-35.5,-0.07,0,13,0.03,-35.5,-0.07,837.5,0.08,25
159,Exit short,2026-04-15 01:00,P6 Short Exit,26338,1,52627.5,-48.5,-0.09,0,24.5,0.05,-48.5,-0.09,789,0.08,71
159,Entry short,2026-04-14 23:49,1h first touch + room,26313.75,1,52627.5,-48.5,-0.09,0,24.5,0.05,-48.5,-0.09,789,0.08,71
160,Exit long,2026-04-15 09:40,P6 Long Exit,26351.5,1,52539,164,0.31,0,164,0.31,-84.5,-0.16,953,0.10,203
160,Entry long,2026-04-15 06:17,1h first touch + room,26269.5,1,52539,164,0.31,0,164,0.31,-84.5,-0.16,953,0.10,203
161,Exit short,2026-04-15 20:16,P6 Short Exit,26713.25,1,53365.5,-61,-0.11,0,14.5,0.03,-61,-0.11,892,0.09,88
161,Entry short,2026-04-15 18:48,1h first touch + room,26682.75,1,53365.5,-61,-0.11,0,14.5,0.03,-61,-0.11,892,0.09,88
162,Exit short,2026-04-16 01:53,P6 Short Exit,26754.5,1,53472,-37,-0.07,0,5.5,0.01,-37,-0.07,855,0.09,25
162,Entry short,2026-04-16 01:28,1h first touch + room,26736,1,53472,-37,-0.07,0,5.5,0.01,-37,-0.07,855,0.09,25
163,Exit short,2026-04-16 09:51,P6 Short Exit,26633.25,1,53464.5,198,0.37,0,198,0.37,-28,-0.05,1053,0.11,21
163,Entry short,2026-04-16 09:30,1h first touch + room,26732.25,1,53464.5,198,0.37,0,198,0.37,-28,-0.05,1053,0.11,21
164,Exit short,2026-04-16 12:00,P6 Short Exit,26836,1,53637.5,-34.5,-0.06,0,109.5,0.20,-34.5,-0.06,1018.5,0.10,22
164,Entry short,2026-04-16 11:38,1h first touch + room,26818.75,1,53637.5,-34.5,-0.06,0,109.5,0.20,-34.5,-0.06,1018.5,0.10,22
165,Exit short,2026-04-17 04:29,P6 Short Exit,26791.5,1,53552,-31,-0.06,0,39,0.07,-31,-0.06,987.5,0.10,75
165,Entry short,2026-04-17 03:14,1h first touch + room,26776,1,53552,-31,-0.06,0,39,0.07,-31,-0.06,987.5,0.10,75
166,Exit short,2026-04-17 11:31,P6 Short Exit,27158.25,1,54215,-101.5,-0.19,0,25.5,0.05,-101.5,-0.19,886,0.09,50
166,Entry short,2026-04-17 10:41,1h first touch + room,27107.5,1,54215,-101.5,-0.19,0,25.5,0.05,-101.5,-0.19,886,0.09,50
167,Exit long,2026-04-17 13:21,P6 Long Exit,27083.75,1,54236.5,-69,-0.13,0,45.5,0.08,-69,-0.13,817,0.08,12
167,Entry long,2026-04-17 13:09,1h first touch + room,27118.25,1,54236.5,-69,-0.13,0,45.5,0.08,-69,-0.13,817,0.08,12
168,Exit long,2026-04-17 16:00,15:00 CT close,27123.25,1,54101,145.5,0.27,0,150,0.28,-33.5,-0.06,962.5,0.10,155
168,Entry long,2026-04-17 13:25,1h first touch + room,27050.5,1,54101,145.5,0.27,0,150,0.28,-33.5,-0.06,962.5,0.10,155
169,Exit long,2026-04-19 18:03,P6 Long Exit,26929.5,1,53680.5,178.5,0.33,0,178.5,0.33,-15,-0.03,1141,0.11,2
169,Entry long,2026-04-19 18:01,1h first touch + room,26840.25,1,53680.5,178.5,0.33,0,178.5,0.33,-15,-0.03,1141,0.11,2
170,Exit long,2026-04-20 01:44,P6 Long Exit,26907.75,1,53905,-89.5,-0.17,0,43.5,0.08,-89.5,-0.17,1051.5,0.11,67
170,Entry long,2026-04-20 00:37,1h first touch + room,26952.5,1,53905,-89.5,-0.17,0,43.5,0.08,-89.5,-0.17,1051.5,0.11,67
171,Exit long,2026-04-20 07:03,P6 Long Exit,26977.25,1,53979.5,-25,-0.05,0,0,0.00,-25,-0.05,1026.5,0.10,2
171,Entry long,2026-04-20 07:01,1h first touch + room,26989.75,1,53979.5,-25,-0.05,0,0,0.00,-25,-0.05,1026.5,0.10,2
172,Exit short,2026-04-20 16:00,15:00 CT close,27034,1,54076,8,0.01,0,18,0.03,-4,-0.01,1034.5,0.10,0
