experiment,reference_universe,split,retention,avg_points_uplift,profit_factor_uplift,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
1h · impulse ≥0.75 ATR,1h,Train 2019–22,0.44110634239389607,-0.729474281148101,-0.012259950448906487,925,0.3027027027027027,-2.3227027027027027,-6.166247416944842,1.0863275076498848,-0.0659047027292704,-4297.0,0.9120413489585999,-4778.0,-0.6331843646415453,-0.942159442641045,-0.23964013456818306,1792.6145381444635,0.4318181818181818
1h · impulse ≥0.75 ATR,1h,Validation 2023–24,0.3776641091219096,-2.183687617750015,-0.09757544247269401,443,0.30248306997742663,-1.1941309255079007,-6.774374690080747,4.016297305857884,0.07444997201329832,-1058.0,0.9539298933159155,-3506.0,-0.2772668353113417,-0.43486921600787415,-0.1353319571552099,1683.67625245442,0.5
1h · impulse ≥0.75 ATR,1h,Holdout 2025–26,0.38977635782747605,-5.095051196773687,-0.13816735634332622,488,0.35860655737704916,-4.523565573770492,-12.175636061946904,1.787249016640962,-0.07322684834359464,-4415.0,0.8807095283770822,-5675.5,-0.7358103603521408,-1.0583085087516957,-0.4165672865671587,2482.78080015887,0.3333333333333333
1h · opposing room ≥2R/open,1h,Overall,0.7941176470588235,1.1724961914590397,0.05503128399345614,3591,0.2500696184906711,0.8485797827903091,-1.0057525691691518,2.7353670582192606,0.025649181496360456,6094.5,1.041024657202286,-6027.5,0.3728152217087202,0.617131719840589,0.1448656858387297,2349.891270786668,0.47191011235955055
1h · opposing room ≥2R/open,1h,Train 2019–22,0.8035288507391511,1.170676492771219,0.0535519942152064,1685,0.22789317507418397,-0.42255192878338277,-2.953597886732424,2.293213013929701,-0.05193600296484504,-1424.0,0.9778532936227128,-6027.5,-0.2261873745672536,-0.36664612305645256,-0.07971863238021855,2131.4117564772678,0.36363636363636365
1h · opposing room ≥2R/open,1h,Validation 2023–24,0.8022165387894288,1.5513572291181408,0.09930833899377989,941,0.22848034006376194,2.540913921360255,-0.3577845867367926,5.539031942034525,0.12967523012036428,4782.0,1.1508136747823894,-3984.0,1.2337102560213902,2.1880172779554075,0.7021700026790156,2051.227731393113,0.6666666666666666
1h · opposing room ≥2R/open,1h,Holdout 2025–26,0.7707667731629393,0.8463900246651989,0.03319683484458147,965,0.30984455958549223,1.4178756476683938,-2.8446302935077887,5.723720253246445,0.0596828851874938,2736.5,1.0520737195649899,-3711.0,0.614881234787523,1.0055473247999431,0.6009648092027955,3037.657552921941,0.47619047619047616
1h · departure ≥1 width,1h,Overall,0.7757629367536488,0.10641355804159269,0.004400714685895313,3508,0.25997719498289623,-0.21750285062713798,-2.0818194235025027,1.6379404001428264,0.00225040409614736,-1526.0,0.9903940878947253,-7880.5,-0.021416402320615098,-0.03352006936824709,-0.007168449333534544,2388.378283788547,0.5168539325842697
1h · departure ≥1 width,1h,Train 2019–22,0.765855984740105,0.05010886987340624,0.0021530322416882797,1606,0.23785803237858033,-1.5431195516811955,-3.7344967240281832,0.6818109831150633,-0.0603466837146936,-4956.5,0.9264543316491947,-6946.0,-0.586389429894458,-0.8958912104763909,-0.17409416952416043,2092.4928797354496,0.45454545454545453
1h · departure ≥1 width,1h,Validation 2023–24,0.7868712702472294,-0.3273140053515401,-0.016104414930300015,923,0.23076923076923078,0.6622426868905742,-3.2030877151303985,4.152754118126218,0.04876699564858969,1222.5,1.0354009208583095,-5087.5,0.39010025581437585,0.6253418328639798,0.17134588820165544,2077.8036211378994,0.625
1h · departure ≥1 width,1h,Holdout 2025–26,0.7819488817891374,0.5561956844533934,0.019904862565923054,979,0.3237997957099081,1.1276813074565883,-2.8123147042504946,5.178263951889444,0.061081976130168095,2208.0,1.0387817472863314,-3539.5,0.4648366347648527,0.736134511129836,0.49303822809580755,3203.7534406399373,0.5238095238095238
